time,pressure_pss(MB),org.openmined.syft.demo_pss(MB),Active_Memory(MB),Cached_Memory(MB),Free_Memory(MB),SwapCached_Memory(MB),Inactive:,Active(anon):,Inactive(anon):,Active(file):, Inactive(file):,Unevictable:,Mlocked:,SwapTotal:,SwapFree:,Dirty:,Writeback:,AnonPages:,Mapped:,Shmem:,Slab:,SReclaimable:,SUnreclaim:,KernelStack:,PageTables:,NFS_Unstable:,Bounce:,WritebackTmp:,CommitLimit:,Committed_AS:,VmallocTotal:,VmallocUsed:,VmallocChunk:,totalPrivateClean,totalPrivateDirty,totalSharedClean,totalSharedDirty,totalSwappablePss
02:17:06,93,93,365,458,24,23,344,122,129,242,215,0,0,697,543,0,0,249,262,1,54,17,37,11,23,0,0,0,1162,15602,488,136,224,25,54,80,2,25,
02:17:07,85,85,356,458,32,23,344,114,129,242,215,0,0,697,543,0,0,240,262,1,54,17,37,11,23,0,0,0,1162,15586,488,136,224,25,45,80,2,25,
02:17:08,88,88,359,458,30,23,344,117,129,242,215,0,0,697,543,0,0,243,262,1,54,17,37,11,23,0,0,0,1162,15590,488,136,224,25,48,80,2,25,
02:17:09,88,88,359,458,30,23,344,117,129,242,215,0,0,697,543,0,0,243,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,48,80,2,25,
02:17:10,90,90,361,458,27,23,344,119,128,242,215,0,0,697,543,0,0,245,262,1,54,17,37,11,23,0,0,0,1162,15596,488,136,224,25,50,80,2,25,
02:17:11,92,92,364,458,24,23,344,122,128,242,215,0,0,697,543,0,0,248,262,1,54,17,37,11,23,0,0,0,1162,15601,488,136,224,25,53,80,2,25,
02:17:12,92,92,366,458,22,23,344,124,128,242,215,0,0,697,543,0,0,250,262,1,54,17,37,11,23,0,0,0,1162,15606,488,136,224,25,53,80,2,25,
02:17:13,82,81,353,458,35,23,344,111,128,242,215,0,0,697,543,0,0,237,262,1,54,17,37,11,22,0,0,0,1162,15580,488,136,224,25,42,80,2,25,
02:17:14,85,85,356,458,33,23,344,114,128,242,215,0,0,697,543,0,0,240,262,1,54,17,37,11,22,0,0,0,1162,15586,488,136,224,25,45,80,2,25,
02:17:15,84,84,350,458,39,23,344,108,128,242,215,0,0,697,543,0,0,234,253,1,54,17,37,10,22,0,0,0,1162,15550,488,131,224,25,44,80,2,25,
02:17:16,83,83,352,458,37,23,344,109,128,242,215,0,0,697,543,0,0,235,255,1,54,17,37,10,22,0,0,0,1162,15573,488,132,224,25,43,80,2,25,
02:17:17,87,86,357,458,34,23,344,114,128,242,215,0,0,697,543,0,0,240,255,1,54,17,37,11,22,0,0,0,1162,15569,488,132,224,25,47,80,2,25,
02:17:18,86,88,359,458,31,23,344,116,128,242,215,0,0,697,543,0,0,242,256,1,54,17,37,11,22,0,0,0,1162,15570,488,134,224,25,46,80,2,25,
02:17:19,83,78,348,458,42,23,344,105,128,242,215,0,0,697,543,0,0,231,256,1,54,17,37,11,22,0,0,0,1162,15571,488,134,224,25,43,80,2,25,
02:17:20,81,78,353,458,35,23,344,111,128,242,215,0,0,697,543,0,0,237,262,1,54,17,37,11,22,0,0,0,1162,15589,488,136,224,25,41,80,2,25,
02:17:21,87,87,359,458,30,23,344,117,128,242,215,0,0,697,543,0,0,243,262,1,54,17,37,11,22,0,0,0,1162,15580,488,136,224,25,47,80,2,25,
02:17:22,91,91,364,458,26,23,344,121,128,242,215,0,0,697,543,0,0,247,262,1,54,17,37,11,22,0,0,0,1162,15580,488,136,224,25,51,80,2,25,
02:17:23,94,94,367,458,22,23,344,124,128,242,215,0,0,697,543,0,0,250,262,1,54,17,37,11,23,0,0,0,1162,15586,488,136,224,25,54,80,2,25,
02:17:24,97,97,367,458,22,23,344,124,128,242,215,0,0,697,543,0,0,250,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,57,80,2,25,
02:17:25,96,96,366,458,22,23,344,124,128,242,215,0,0,697,543,0,0,250,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,56,80,2,25,
02:17:26,83,83,353,458,34,23,344,111,128,242,215,0,0,697,543,0,0,237,262,1,54,17,37,11,23,0,0,0,1162,15586,488,136,224,25,43,80,2,25,
02:17:27,86,86,356,458,32,23,344,114,128,242,215,0,0,697,543,0,0,240,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,46,80,2,25,
02:17:28,86,86,356,458,32,23,344,114,128,242,215,0,0,697,543,0,0,240,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,46,80,2,25,
02:17:29,89,89,359,458,30,23,344,116,128,242,215,0,0,697,543,0,0,242,262,1,54,17,37,11,23,0,0,0,1162,15596,488,136,224,25,49,80,2,25,
02:17:30,91,91,362,458,27,23,344,119,128,242,215,0,0,697,543,0,0,245,262,1,54,17,37,11,23,0,0,0,1162,15601,488,136,224,25,52,80,2,25,
02:17:31,92,92,362,458,26,23,344,119,128,242,215,0,0,697,543,0,0,245,262,1,54,17,37,11,23,0,0,0,1162,15602,488,136,224,25,52,80,2,25,
02:17:32,83,83,353,458,35,23,344,111,128,242,215,0,0,697,543,0,0,237,262,1,54,17,37,11,23,0,0,0,1162,15586,488,136,224,25,43,80,2,25,
02:17:33,86,86,356,458,33,23,344,114,128,242,215,0,0,697,543,0,0,240,262,1,54,17,37,11,23,0,0,0,1162,15590,488,136,224,25,46,80,2,25,
02:17:34,86,86,356,458,33,23,344,114,128,242,215,0,0,697,543,0,0,240,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,46,80,2,25,
02:17:35,89,89,359,458,31,23,344,116,128,242,215,0,0,697,543,0,0,243,262,1,54,17,37,11,23,0,0,0,1162,15595,488,136,224,25,49,80,2,25,
02:17:36,91,91,362,458,28,23,344,119,128,242,215,0,0,697,543,0,0,245,262,1,54,17,37,11,23,0,0,0,1162,15600,488,136,224,25,52,80,2,25,
02:17:37,92,92,362,458,27,23,344,119,128,242,215,0,0,697,543,0,0,245,262,1,54,17,37,11,23,0,0,0,1162,15601,488,136,224,25,52,80,2,25,
02:17:38,83,83,351,458,38,23,344,109,128,242,215,0,0,697,543,0,0,235,261,1,54,17,37,11,22,0,0,0,1162,15557,488,134,224,25,43,80,2,25,
02:17:39,84,85,350,458,39,23,344,107,128,242,215,0,0,697,543,0,0,233,255,1,54,17,37,10,22,0,0,0,1162,15572,488,132,224,25,45,80,2,25,
02:17:40,84,84,351,458,38,23,344,109,128,242,215,0,0,697,543,0,0,235,255,1,54,17,37,11,22,0,0,0,1162,15564,488,132,224,25,44,80,2,25,
02:17:41,87,87,355,458,35,23,344,112,128,242,215,0,0,697,543,0,0,238,255,1,54,17,37,11,22,0,0,0,1162,15569,488,132,224,25,47,80,2,25,
02:17:42,89,87,358,458,31,23,344,115,128,242,215,0,0,697,543,0,0,241,256,1,54,17,37,11,22,0,0,0,1162,15585,488,134,224,25,50,80,2,25,
02:17:43,89,89,361,458,28,23,344,118,128,242,215,0,0,697,543,0,0,244,262,1,54,17,37,11,23,0,0,0,1162,15604,488,136,224,25,50,80,2,25,
02:17:44,88,88,360,458,29,23,344,117,128,242,215,0,0,697,543,0,0,243,262,1,54,17,37,11,23,0,0,0,1162,15605,488,136,224,25,48,80,2,25,
02:17:45,89,89,361,458,28,23,344,118,128,242,215,0,0,697,543,0,0,244,262,1,54,17,37,11,23,0,0,0,1162,15596,488,136,224,25,50,80,2,25,
02:17:46,92,92,364,458,25,23,344,121,128,242,215,0,0,697,543,0,0,247,262,1,54,17,37,11,23,0,0,0,1162,15601,488,136,224,25,53,80,2,25,
02:17:47,95,93,354,458,33,23,344,112,128,242,215,0,0,697,543,0,0,238,262,1,54,17,37,11,23,0,0,0,1162,15586,488,136,224,25,56,80,2,25,
02:17:48,84,84,355,458,33,23,344,113,128,242,215,0,0,697,543,0,0,239,262,1,54,17,37,11,23,0,0,0,1162,15586,488,136,224,25,44,80,2,25,
02:17:49,86,86,358,458,31,23,344,115,128,242,215,0,0,697,543,0,0,241,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,46,80,2,25,
02:17:50,86,86,358,458,30,23,344,115,128,242,215,0,0,697,543,0,0,241,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,47,80,2,25,
02:17:51,89,89,361,458,28,23,344,118,128,242,215,0,0,697,543,0,0,244,262,1,54,17,37,11,23,0,0,0,1162,15596,488,136,224,25,49,80,2,25,
02:17:52,92,92,363,458,26,23,344,121,128,242,215,0,0,697,543,0,0,247,262,1,54,17,37,11,23,0,0,0,1162,15601,488,136,224,25,52,80,2,25,
02:17:53,93,93,365,458,24,23,344,122,128,242,215,0,0,697,543,0,0,249,262,1,54,17,37,11,23,0,0,0,1162,15601,488,136,224,25,54,80,2,25,
02:17:54,85,85,356,458,32,23,344,114,128,242,215,0,0,697,543,0,0,240,262,1,54,17,37,11,23,0,0,0,1162,15586,488,136,224,25,45,80,2,25,
02:17:55,97,91,354,458,36,23,344,111,128,242,215,0,0,697,543,0,0,237,262,1,54,17,37,11,22,0,0,0,1162,15581,488,136,224,25,57,80,2,25,
02:17:56,83,78,347,458,41,23,344,105,128,242,215,0,0,697,543,0,0,231,262,1,54,17,37,11,22,0,0,0,1162,15581,488,136,224,25,44,80,2,25,
02:17:57,94,90,365,458,25,23,344,123,128,242,215,0,0,697,543,0,0,249,262,1,54,17,37,11,22,0,0,0,1162,15581,488,136,224,25,54,80,2,25,
02:17:58,93,93,364,458,25,23,344,122,128,242,215,0,0,697,543,0,0,248,262,1,54,17,37,11,22,0,0,0,1162,15581,488,136,224,25,53,80,2,25,
02:17:59,83,83,355,458,33,23,344,112,128,242,215,0,0,697,543,0,0,238,262,1,54,17,37,11,23,0,0,0,1162,15586,488,136,224,25,43,80,2,25,
02:18:00,86,86,358,458,30,23,344,115,128,242,215,0,0,697,543,0,0,241,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,46,80,2,25,
02:18:01,86,86,358,458,30,23,344,115,128,242,215,0,0,697,543,0,0,241,262,1,54,17,37,11,23,0,0,0,1162,15592,488,136,224,25,46,80,2,25,
02:18:02,89,89,357,458,31,23,344,115,128,242,215,0,0,697,543,0,0,241,255,1,54,17,37,10,22,0,0,0,1162,15583,488,132,224,25,49,80,2,25,
02:18:03,88,88,356,458,33,23,344,114,128,242,215,0,0,697,543,0,0,240,255,1,54,17,37,10,22,0,0,0,1162,15574,488,132,224,25,48,80,2,25,
02:18:04,90,90,361,458,29,23,344,118,128,242,215,0,0,697,543,0,0,244,255,1,54,17,37,11,22,0,0,0,1162,15579,488,132,224,25,51,80,2,25,
02:18:05,93,93,364,458,26,23,344,121,128,242,215,0,0,697,543,0,0,247,256,1,54,17,37,11,22,0,0,0,1162,15590,488,134,224,25,53,80,2,25,
02:18:06,85,96,356,458,33,23,344,113,128,242,215,0,0,697,543,0,0,240,258,1,54,17,37,11,22,0,0,0,1162,15585,488,134,224,25,45,80,2,25,
02:18:07,84,84,357,458,31,23,344,115,128,242,215,0,0,697,543,0,0,241,262,1,54,17,37,11,22,0,0,0,1162,15594,488,136,224,25,45,80,2,25,
02:18:08,84,83,357,458,33,23,344,114,128,242,215,0,0,697,543,0,0,240,262,1,54,17,37,11,23,0,0,0,1162,15586,488,136,224,25,44,80,2,25,
02:18:09,88,88,360,458,30,23,344,117,128,242,215,0,0,697,543,0,0,243,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,48,80,2,25,
02:18:10,86,86,359,458,30,23,344,116,128,242,215,0,0,697,543,0,0,243,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,47,80,2,25,
02:18:11,89,89,362,458,28,23,344,119,128,242,215,0,0,697,543,0,0,245,262,1,54,17,37,11,23,0,0,0,1162,15596,488,136,224,25,49,80,2,25,
02:18:12,93,93,366,458,24,23,344,124,128,242,215,0,0,697,543,0,0,250,262,1,54,17,37,11,23,0,0,0,1162,15601,488,136,224,25,54,80,2,25,
02:18:13,92,92,365,458,23,23,344,123,128,242,215,0,0,697,543,0,0,249,262,1,54,17,37,11,23,0,0,0,1162,15601,488,136,224,25,53,80,2,25,
02:18:14,84,84,356,458,32,23,344,114,128,242,215,0,0,697,543,0,0,240,262,1,54,17,37,11,23,0,0,0,1162,15586,488,136,224,25,44,80,2,25,
02:18:15,88,88,360,458,29,23,344,118,128,242,215,0,0,697,543,0,0,244,262,1,54,17,37,11,23,0,0,0,1162,15590,488,136,224,25,48,80,2,25,
02:18:16,87,87,360,458,28,23,344,118,128,242,215,0,0,697,543,0,0,244,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,48,80,2,25,
02:18:17,90,90,363,458,26,23,344,120,128,242,215,0,0,697,543,0,0,246,262,1,54,17,37,11,23,0,0,0,1162,15596,488,136,224,25,50,80,2,25,
02:18:18,93,93,366,458,24,23,344,123,128,242,215,0,0,697,543,0,0,249,262,1,54,17,37,11,23,0,0,0,1162,15601,488,136,224,25,53,80,2,25,
02:18:19,95,93,368,458,21,23,344,125,128,242,215,0,0,697,543,0,0,251,262,1,54,17,37,11,23,0,0,0,1162,15606,488,136,224,25,56,80,2,25,
02:18:20,84,84,357,458,30,23,344,115,128,242,215,0,0,697,543,0,0,241,262,1,54,17,37,11,23,0,0,0,1162,15586,488,136,224,25,45,80,2,25,
02:18:21,87,87,360,458,28,23,344,117,128,242,215,0,0,697,543,0,0,244,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,47,80,2,25,
02:18:22,86,86,359,458,31,23,344,116,128,242,215,0,0,697,543,0,0,242,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,46,80,2,25,
02:18:23,89,89,362,458,28,23,344,119,128,242,215,0,0,697,543,0,0,245,262,1,54,17,37,11,23,0,0,0,1162,15596,488,136,224,25,49,80,2,25,
02:18:24,92,92,365,458,24,23,344,122,128,242,215,0,0,697,543,0,0,248,262,1,54,17,37,11,23,0,0,0,1162,15601,488,136,224,25,52,80,2,25,
02:18:25,92,92,360,458,28,23,344,118,128,242,215,0,0,697,543,0,0,244,261,1,54,17,37,11,22,0,0,0,1162,15573,488,134,224,25,52,80,2,25,
02:18:26,92,92,360,458,30,23,344,117,128,242,215,0,0,697,543,0,0,243,255,1,54,17,37,11,22,0,0,0,1162,15579,488,132,224,25,52,80,2,25,
02:18:27,83,94,351,458,38,23,344,109,128,242,215,0,0,697,543,0,0,235,255,1,54,17,37,11,22,0,0,0,1162,15564,488,132,224,25,44,80,2,25,
02:18:28,83,83,352,458,38,23,344,109,128,242,215,0,0,697,543,0,0,235,255,1,54,17,37,10,22,0,0,0,1162,15565,488,133,224,25,44,80,2,25,
02:18:29,86,86,357,458,34,23,344,114,128,242,215,0,0,697,543,0,0,240,256,1,54,17,37,11,22,0,0,0,1162,15580,488,134,224,25,47,80,2,25,
02:18:30,86,86,359,458,31,23,344,116,128,242,215,0,0,697,543,0,0,242,262,1,54,17,37,11,22,0,0,0,1162,15599,488,136,224,25,47,80,2,25,
02:18:31,85,85,357,458,32,23,344,114,128,242,215,0,0,697,543,0,0,240,262,1,54,17,37,11,23,0,0,0,1162,15591,488,136,224,25,45,80,2,25,
02:18:32,90,89,362,458,27,23,344,120,128,242,215,0,0,697,543,0,0,245,262,1,54,17,37,11,23,0,0,0,1162,15596,488,136,224,25,50,80,2,25,
02:18:33,88,93,356,458,32,23,344,114,128,242,215,0,0,697,543,0,0,239,262,1,54,17,37,11,22,0,0,0,1162,15581,488,136,224,25,48,80,2,25,
02:18:34,85,82,350,458,40,23,344,107,128,242,215,0,0,697,543,0,0,233,262,1,54,17,37,11,22,0,0,0,1162,15581,488,136,224,25,45,80,2,25,
02:18:35,82,77,354,458,36,23,344,111,128,242,215,0,0,697,543,0,0,237,262,1,54,17,37,11,22,0,0,0,1162,15581,488,136,224,25,42,80,2,25,
02:18:36,86,86,358,458,32,23,344,116,128,242,215,0,0,697,543,0,0,241,262,1,54,17,37,11,22,0,0,0,1162,15581,488,136,224,25,46,80,2,25,
02:18:37,89,89,361,458,29,23,344,118,128,242,215,0,0,697,543,0,0,244,262,1,54,17,37,11,22,0,0,0,1162,15586,488,136,224,25,49,80,2,25,
02:18:38,92,92,364,458,26,23,344,121,128,242,215,0,0,697,543,0,0,247,262,1,54,17,37,11,22,0,0,0,1162,15590,488,136,224,25,52,80,2,25,
02:18:39,91,91,363,458,27,23,344,120,128,242,215,0,0,697,543,0,0,246,262,1,54,17,37,11,22,0,0,0,1162,15590,488,136,224,25,51,80,2,25,
02:18:40,95,95,367,458,23,23,344,125,128,242,215,0,0,697,543,0,0,250,262,1,54,17,37,11,23,0,0,0,1162,15595,488,136,224,25,55,80,2,25,
02:18:41,98,98,370,458,20,23,344,127,128,242,215,0,0,697,543,0,0,253,262,1,54,17,37,11,23,0,0,0,1162,15601,488,136,224,25,58,80,2,25,
02:18:42,101,98,349,454,39,23,345,109,131,240,213,0,0,697,543,0,0,237,261,1,54,17,37,11,23,0,0,0,1162,15586,488,136,224,25,61,80,2,25,
02:18:43,83,83,350,454,39,23,345,110,131,240,213,0,0,697,543,0,0,238,261,1,54,17,37,11,22,0,0,0,1162,15586,488,136,224,25,43,80,2,25,
02:18:44,87,87,354,454,35,23,345,114,131,240,213,0,0,697,543,0,0,242,261,1,54,17,37,11,22,0,0,0,1162,15591,488,136,224,25,47,80,2,25,
02:18:45,86,86,353,454,36,23,345,113,131,240,213,0,0,697,543,0,0,241,261,1,54,17,37,11,22,0,0,0,1162,15591,488,136,224,25,46,80,2,25,
02:18:46,89,89,356,454,33,23,345,116,131,240,213,0,0,697,543,0,0,244,261,1,54,17,37,11,22,0,0,0,1162,15596,488,136,224,25,49,80,2,25,
02:18:47,92,92,359,454,30,23,345,119,131,240,213,0,0,697,543,0,0,247,261,1,54,17,37,11,23,0,0,0,1162,15601,488,136,224,25,52,80,2,25,
02:18:48,92,92,356,454,31,23,345,116,131,240,213,0,0,697,543,0,0,244,260,1,54,17,37,11,22,0,0,0,1162,15573,488,134,224,25,52,80,2,25,
02:18:49,83,83,344,453,45,23,345,104,131,240,213,0,0,697,543,0,0,232,254,1,54,17,37,10,22,0,0,0,1162,15572,488,132,224,25,43,80,2,25,
02:18:50,83,79,349,454,41,23,345,109,131,240,213,0,0,697,543,0,0,237,254,1,54,17,37,10,22,0,0,0,1162,15564,488,132,224,25,43,80,2,25,
02:18:51,84,84,351,454,39,23,345,111,131,240,213,0,0,697,543,0,0,239,254,1,54,17,37,10,22,0,0,0,1162,15569,488,132,224,25,45,80,2,25,
02:18:52,87,87,353,454,36,23,345,113,131,240,213,0,0,697,543,0,0,241,255,1,54,17,37,11,22,0,0,0,1162,15580,488,134,224,25,47,80,2,25,
02:18:53,90,90,356,454,33,23,345,116,131,240,213,0,0,697,543,0,0,245,257,1,54,17,37,11,22,0,0,0,1162,15595,488,134,224,25,50,80,2,25,
02:18:54,89,89,358,454,30,23,345,118,131,240,213,0,0,697,543,0,0,246,262,1,54,17,37,11,23,0,0,0,1162,15604,488,136,224,25,50,80,2,25,
02:18:55,89,89,357,454,32,23,345,117,131,240,213,0,0,697,543,0,0,245,261,1,54,17,37,11,22,0,0,0,1162,15596,488,136,224,25,49,80,2,25,
02:18:56,92,92,360,454,29,23,345,120,131,240,213,0,0,697,543,0,0,248,261,1,54,17,37,11,22,0,0,0,1162,15601,488,136,224,25,52,80,2,25,
02:18:57,92,92,360,454,29,23,345,120,131,240,213,0,0,697,543,0,0,249,262,1,54,17,37,11,22,0,0,0,1162,15601,488,136,224,25,52,80,2,25,
02:18:58,83,83,352,454,37,23,345,112,131,240,213,0,0,697,543,0,0,240,261,1,54,17,37,11,22,0,0,0,1162,15585,488,136,224,25,44,80,2,25,
02:18:59,86,86,354,454,34,23,345,114,131,240,213,0,0,697,543,0,0,243,261,1,54,17,37,11,22,0,0,0,1162,15590,488,136,224,25,47,80,2,25,
02:19:00,88,88,356,454,32,23,345,116,131,240,213,0,0,697,543,0,0,245,261,1,54,17,37,11,22,0,0,0,1162,15591,488,136,224,25,48,80,2,25,
02:19:01,89,89,358,454,31,23,345,118,131,240,213,0,0,697,543,0,0,246,261,1,54,17,37,11,22,0,0,0,1162,15595,488,136,224,25,50,80,2,25,
02:19:02,92,92,361,454,29,23,345,120,131,240,213,0,0,697,543,0,0,249,261,1,54,17,37,11,22,0,0,0,1162,15600,488,136,224,25,53,80,2,25,
02:19:03,92,92,360,454,28,23,345,120,131,240,213,0,0,697,543,0,0,249,262,1,54,17,37,11,22,0,0,0,1162,15600,488,136,224,25,52,80,2,25,
02:19:04,84,84,352,454,36,23,345,112,131,240,213,0,0,697,543,0,0,240,262,1,54,17,37,11,22,0,0,0,1162,15585,488,136,224,25,44,80,2,25,
02:19:05,87,87,355,454,34,23,345,115,131,240,213,0,0,697,543,0,0,243,261,1,54,17,37,11,22,0,0,0,1162,15590,488,136,224,25,47,80,2,25,
